train_domain,test_domain,split,model,seed,defense,attack,f1,precision,recall,roc_auc
spamassassin,spamassassin,test,distilbert_ft,0,none,clean,0.0,0.0,0.0,0.46015325670498086
spamassassin,sms,test,distilbert_ft,0,none,clean,0.030303030303030304,0.25,0.016129032258064516,0.8901723767970818
