train_domain,test_domain,split,model,seed,defense,attack,f1,precision,recall,roc_auc
sms,sms,test,distilbert_ft,0,none,clean,0.991869918699187,1.0,0.9838709677419355,0.9998211858951433
sms,spamassassin,test,distilbert_ft,0,none,clean,0.5595238095238095,0.4895833333333333,0.6527777777777778,0.49037356321839076
