dataset,model,seed_0,seed_1,seed_2,mean,std
sms,MiniLM+LR,0.9478340451494813,0.9478340451494813,0.9478340451494813,0.9478340451494813,0.0
telegram,MiniLM+LR,0.9197425200853968,0.9197425200853968,0.9197425200853968,0.9197425200853968,0.0
