model,attack,f1_clean_train,f1_eat_train,gain
spamassassin_dedup_tfidf_word_lr,clean,0.47232472324723246,0.5519287833827893,0.07960406013555682
spamassassin_dedup_tfidf_word_lr,obfuscate,0.371900826446281,0.6620370370370371,0.2901362105907561
spamassassin_dedup_tfidf_word_lr,prompt_injection,0.45627376425855515,0.6409638554216868,0.18469009116313162
spamassassin_dedup_tfidf_word_lr,paraphrase_like,0.47232472324723246,0.5476190476190477,0.07529432437181521
spamassassin_dedup_tfidf_char_svm,clean,0.4548736462093863,0.46153846153846156,0.006664815329075258
spamassassin_dedup_tfidf_char_svm,obfuscate,0.46886446886446886,0.6426858513189448,0.17382138245447598
spamassassin_dedup_tfidf_char_svm,prompt_injection,0.4808362369337979,0.6153846153846154,0.13454837845081752
spamassassin_dedup_tfidf_char_svm,paraphrase_like,0.4548736462093863,0.45614035087719296,0.0012667046678066507
