attack,defense,n_models,orig_delta_mean,orig_delta_std,dedup_delta_mean,dedup_delta_std,change_mean,change_std,change_abs_mean
obfuscate,normalize,6,-0.060689197541286155,0.08825769384172491,-0.07113300588495174,0.07387764614633348,-0.0104438083436656,0.05034016260128305,0.0104438083436656
prompt_injection,none,6,-0.011946414465787149,0.01851315214852042,-0.0033559252037518006,0.05127416763310154,0.008590489262035332,0.04435989551257149,0.008590489262035332
paraphrase_like,normalize,6,-0.014758782358973618,0.022389094331886395,-0.006942511756005184,0.012937502100394177,0.007816270602968434,0.010527888415849299,0.007816270602968434
paraphrase_like,none,6,-0.013828312389625216,0.018853125094044926,-0.006098337979071917,0.012188732588797577,0.007729974410553299,0.010367426232345826,0.007729974410553299
prompt_injection,normalize,6,-0.0005670632552100165,0.022374677039999978,0.007009997378064666,0.04683037241595251,0.007577060633274666,0.04514401279055128,0.007577060633274666
obfuscate,none,6,-0.03392968285333195,0.04656496185011038,-0.030495943760620942,0.0517690167722121,0.0034337390927109504,0.028133290920378085,0.0034337390927109504
