model,attack,f1_clean_train,f1_eat_train,gain
telegram_dedup_tfidf_word_lr,clean,0.8959276018099548,0.9075342465753424,0.011606644765387641
telegram_dedup_tfidf_word_lr,obfuscate,0.8208092485549133,0.8431372549019608,0.022328006347047458
telegram_dedup_tfidf_word_lr,prompt_injection,0.8834586466165414,0.5822911455727864,-0.301167501043755
telegram_dedup_tfidf_word_lr,paraphrase_like,0.8898999090081893,0.9041095890410958,0.014209680032906569
telegram_dedup_tfidf_char_svm,clean,0.950477845351868,0.9505637467476149,8.590139574693456e-05
telegram_dedup_tfidf_char_svm,obfuscate,0.9407603890362511,0.9115755627009646,-0.029184826335286518
telegram_dedup_tfidf_char_svm,prompt_injection,0.9545454545454546,0.6776084407971864,-0.2769370137482682
telegram_dedup_tfidf_char_svm,paraphrase_like,0.9494773519163763,0.9505637467476149,0.001086394831238624
