,f1_clean_train,f1_clean_train,f1_clean_train,f1_eat_train,f1_eat_train,f1_eat_train,gain,gain,gain
attack,clean,obfuscate,paraphrase_like,clean,obfuscate,paraphrase_like,clean,obfuscate,paraphrase_like
model,,,,,,,,,
sms_dedup_tfidf_char_svm,0.9836065573770492,0.9401709401709402,0.9836065573770492,0.9836065573770492,0.975206611570248,0.9836065573770492,0.0,0.0350356713993077,0.0
sms_dedup_tfidf_word_lr,0.8928571428571429,0.7647058823529411,0.8623853211009175,0.9401709401709402,0.875,0.9026548672566372,0.0473137973137972,0.1102941176470588,0.0402695461557196
spamassassin_dedup_tfidf_char_svm,0.4548736462093863,0.4688644688644688,0.4548736462093863,0.4615384615384615,0.6426858513189448,0.4561403508771929,0.0066648153290752,0.1738213824544759,0.0012667046678066
spamassassin_dedup_tfidf_word_lr,0.4723247232472324,0.371900826446281,0.4723247232472324,0.5519287833827893,0.6620370370370371,0.5476190476190477,0.0796040601355568,0.2901362105907561,0.0752943243718152
