model,sms_in_domain_f1,spam_in_domain_f1,sms_to_spam_f1,spam_to_sms_f1
tfidf_word_lr,0.8928571428571429,0.4723247232472324,0.0891719745222929,0.3041825095057034
tfidf_char_svm,0.9836065573770492,0.4548736462093863,0.4496124031007752,0.2420382165605095
minilm_lr,0.9230769230769232,0.4153846153846154,0.119047619047619,0.1705069124423963
distilbert_ft,0.991869918699187,0.0,0.5595238095238095,0.0
tfidf_word_lr_augtrain,0.9508196721311476,0.6440677966101694,0.3412322274881517,0.2156521739130434
minilm_lr_coral,0.9230769230769232,0.4153846153846154,0.1125,0.1607142857142857
