model,attack,f1_clean_train,f1_eat_train,gain
sms_dedup_tfidf_word_lr,clean,0.8928571428571429,0.9401709401709402,0.04731379731379726
sms_dedup_tfidf_word_lr,obfuscate,0.7647058823529411,0.875,0.11029411764705888
sms_dedup_tfidf_word_lr,prompt_injection,0.819047619047619,0.3177083333333333,-0.5013392857142858
sms_dedup_tfidf_word_lr,paraphrase_like,0.8623853211009175,0.9026548672566371,0.04026954615571965
sms_dedup_tfidf_char_svm,clean,0.9836065573770492,0.9836065573770492,0.0
sms_dedup_tfidf_char_svm,obfuscate,0.9401709401709402,0.9752066115702479,0.035035671399307744
sms_dedup_tfidf_char_svm,prompt_injection,0.9836065573770492,0.5422222222222223,-0.4413843351548269
sms_dedup_tfidf_char_svm,paraphrase_like,0.9836065573770492,0.9836065573770492,0.0
