attack,dataset,model,defense,f1_clean,f1_attacked,delta_f1
prompt_injection,sms_uci,tfidf_llm_lr.joblib,normalize,0.8721804511278195,0.8372093023255814,-0.03497114880223806
clean,sms_uci,tfidf_llm_lr.joblib,none,0.920863309352518,0.920863309352518,0.0
obfuscate,sms_uci,tfidf_llm_lr.joblib,none,0.920863309352518,0.8095238095238095,-0.1113394998287085
paraphrase_like,sms_uci,tfidf_llm_lr.joblib,none,0.920863309352518,0.8636363636363636,-0.05722694571615439
prompt_injection,sms_uci,tfidf_llm_lr.joblib,none,0.920863309352518,0.8970588235294118,-0.023804485823106236
clean,sms_uci,tfidf_word_lr.joblib,normalize,0.8721804511278195,0.8721804511278195,0.0
obfuscate,sms_uci,tfidf_word_lr.joblib,normalize,0.8721804511278195,0.7394957983193278,-0.13268465280849173
paraphrase_like,sms_uci,tfidf_word_lr.joblib,normalize,0.8721804511278195,0.8188976377952756,-0.05328281333254392
prompt_injection,sms_uci,tfidf_word_lr.joblib,normalize,0.8721804511278195,0.8549618320610687,-0.017218619066750818
clean,sms_uci,tfidf_word_lr.joblib,none,0.920863309352518,0.920863309352518,0.0
obfuscate,sms_uci,tfidf_word_lr.joblib,none,0.920863309352518,0.8095238095238095,-0.1113394998287085
paraphrase_like,sms_uci,tfidf_word_lr.joblib,none,0.920863309352518,0.8721804511278195,-0.04868285822469853
prompt_injection,sms_uci,tfidf_word_lr.joblib,none,0.920863309352518,0.9051094890510949,-0.015753820301423138
